calendar-year,academic-year,population
2013,-5,9618
2013,-4,9398
2013,-3,8629
2013,-2,8288
2013,-1,7561
2013,0,7350
2013,1,7150
2013,2,6936
2013,3,6414
2013,4,6360
2013,5,6274
2013,6,5886
2013,7,5618
2013,8,5314
2013,9,5388
2013,10,5280
2013,11,5514
2013,12,5390
2013,13,5300
2013,14,6780
2013,15,7936
2013,16,9380
2013,17,10846
2013,18,12626
2013,19,14386
2013,20,16710
2013,21,17958
2013,22,17698
2013,23,17614
2013,24,17390
2013,25,16596
2014,-5,8998
2014,-4,9436
2014,-3,9250
2014,-2,8533
2014,-1,8240
2014,0,7659
2014,1,7480
2014,2,7224
2014,3,7004
2014,4,6460
2014,5,6438
2014,6,6408
2014,7,5986
2014,8,5704
2014,9,5388
2014,10,5550
2014,11,5464
2014,12,5774
2014,13,5944
2014,14,6988
2014,15,8222
2014,16,8762
2014,17,10332
2014,18,12772
2014,19,14178
2014,20,16190
2014,21,18184
2014,22,18758
2014,23,17942
2014,24,18140
2014,25,17324
2015,-5,9092
2015,-4,8876
2015,-3,9362
2015,-2,9150
2015,-1,8499
2015,0,8296
2015,1,7719
2015,2,7502
2015,3,7310
2015,4,7148
2015,5,6492
2015,6,6486
2015,7,6456
2015,8,6112
2015,9,5826
2015,10,5546
2015,11,5726
2015,12,5732
2015,13,6390
2015,14,7742
2015,15,8670
2015,16,9172
2015,17,9974
2015,18,11962
2015,19,14648
2015,20,15866
2015,21,17436
2015,22,19128
2015,23,19244
2015,24,18240
2015,25,18166
2016,-5,9124
2016,-4,8815
2016,-3,8630
2016,-2,9125
2016,-1,8963
2016,0,8431
2016,1,8225
2016,2,7632
2016,3,7437
2016,4,7230
2016,5,7033
2016,6,6424
2016,7,6371
2016,8,6379
2016,9,6046
2016,10,5855
2016,11,5604
2016,12,5806
2016,13,6161
2016,14,7939
2016,15,8870
2016,16,9452
2016,17,10113
2016,18,11589
2016,19,13791
2016,20,16293
2016,21,17038
2016,22,18045
2016,23,19334
2016,24,19139
2016,25,17934
2017,-5,9332
2017,-4,8937
2017,-3,8644
2017,-2,8504
2017,-1,8988
2017,0,8925
2017,1,8398
2017,2,8155
2017,3,7592
2017,4,7388
2017,5,7140
2017,6,6973
2017,7,6338
2017,8,6320
2017,9,6327
2017,10,6085
2017,11,5921
2017,12,5717
2017,13,6315
2017,14,8066
2017,15,9365
2017,16,9901
2017,17,10629
2017,18,12159
2017,19,13890
2017,20,16068
2017,21,17899
2017,22,18203
2017,23,18819
2017,24,19631
2017,25,19010
2018,-5,9639
2018,-4,9142
2018,-3,8773
2018,-2,8524
2018,-1,8407
2018,0,8949
2018,1,8882
2018,2,8331
2018,3,8102
2018,4,7541
2018,5,7301
2018,6,7084
2018,7,6871
2018,8,6296
2018,9,6275
2018,10,6362
2018,11,6143
2018,12,6023
2018,13,6233
2018,14,8232
2018,15,9489
2018,16,10366
2018,17,11040
2018,18,12557
2018,19,14421
2018,20,16131
2018,21,17732
2018,22,18998
2018,23,19037
2018,24,19217
2018,25,19502
2019,-5,9856
2019,-4,9369
2019,-3,8919
2019,-2,8609
2019,-1,8392
2019,0,8361
2019,1,8878
2019,2,8778
2019,3,8259
2019,4,8016
2019,5,7434
2019,6,7229
2019,7,6969
2019,8,6799
2019,9,6243
2019,10,6302
2019,11,6401
2019,12,6214
2019,13,6455
2019,14,7881
2019,15,9395
2019,16,10239
2019,17,11150
2019,18,12532
2019,19,14312
2019,20,16188
2019,21,17351
2019,22,18476
2019,23,19396
2019,24,19134
2019,25,18871
2020,-5,10095
2020,-4,9741
2020,-3,9275
2020,-2,8870
2020,-1,8574
2020,0,8430
2020,1,8377
2020,2,8835
2020,3,8752
2020,4,8230
2020,5,7940
2020,6,7406
2020,7,7153
2020,8,6939
2020,9,6773
2020,10,6315
2020,11,6382
2020,12,6522
2020,13,6797
2020,14,8766
2020,15,9723
2020,16,10774
2020,17,11829
2020,18,13711
2020,19,15419
2020,20,17221
2020,21,18531
2020,22,19146
2020,23,19906
2020,24,20352
2020,25,19606
2021,-5,10548
2021,-4,9925
2021,-3,9589
2021,-2,9178
2021,-1,8800
2021,0,8588
2021,1,8426
2021,2,8337
2021,3,8790
2021,4,8694
2021,5,8138
2021,6,7886
2021,7,7315
2021,8,7113
2021,9,6902
2021,10,6823
2021,11,6392
2021,12,6495
2021,13,7066
2021,14,8875
2021,15,10334
2021,16,10906
2021,17,12098
2021,18,14024
2021,19,16222
2021,20,17943
2021,21,19135
2021,22,19967
2021,23,20252
2021,24,20588
2021,25,20514
2022,-5,10835
2022,-4,10283
2022,-3,9714
2022,-2,9432
2022,-1,9059
2022,0,8779
2022,1,8559
2022,2,8360
2022,3,8287
2022,4,8708
2022,5,8570
2022,6,8065
2022,7,7764
2022,8,7255
2022,9,7062
2022,10,6939
2022,11,6873
2022,12,6491
2022,13,7002
2022,14,8948
2022,15,10187
2022,16,11209
2022,17,11923
2022,18,13899
2022,19,16100
2022,20,18277
2022,21,19413
2022,22,20114
2022,23,20665
2022,24,20579
2022,25,20443