calendar-year,setting,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,L,61.0,0.0,0.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
2017,M,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,I,29.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
2017,R,36.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2017,O,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2017,A,390.0,0.0,0.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0
2017,F,118.0,0.0,0.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0
2017,Q,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2017,P,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2017,D,16.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
2017,B,1208.0,0.0,0.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0
2017,J,51.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
2017,C,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2017,E,27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2017,G,21.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
2017,H,40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2017,S,79.0,0.0,0.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
2017,N,36.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2017,K,17.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2018,L,56.5,4.32,7.0,51.0,51.0,52.0,55.0,59.0,64.0,64.0,53.82,59.18
2018,M,1.75,1.39,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,0.89,2.61
2018,I,33.3,2.97,3.0,29.0,29.0,31.0,32.0,34.0,39.0,39.0,31.46,35.14
2018,R,35.1,6.39,10.0,28.0,28.0,29.0,35.0,39.0,49.0,49.0,31.14,39.06
2018,O,2.5,0.67,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.08,2.92
2018,A,404.9,4.21,6.0,398.0,398.0,403.0,404.0,409.0,413.0,413.0,402.29,407.51
2018,F,128.1,6.17,11.0,119.0,119.0,123.0,126.0,134.0,139.0,139.0,124.27,131.93
2018,Q,7.3,2.53,4.0,4.0,4.0,5.0,6.0,9.0,12.0,12.0,5.73,8.87
2018,P,8.5,2.97,4.0,4.0,4.0,6.0,8.0,10.0,14.0,14.0,6.66,10.34
2018,D,18.6,4.03,5.0,13.0,13.0,15.0,18.0,20.0,27.0,27.0,16.1,21.1
2018,B,1256.3,25.37,27.0,1190.0,1190.0,1250.0,1263.0,1277.0,1283.0,1283.0,1240.58,1272.02
2018,J,69.5,6.82,11.0,61.0,61.0,65.0,66.0,76.0,83.0,83.0,65.28,73.72
2018,C,5.7,2.1,3.0,2.0,2.0,4.0,6.0,7.0,9.0,9.0,4.4,7.0
2018,E,30.4,3.5,5.0,27.0,27.0,27.0,28.0,32.0,38.0,38.0,28.23,32.57
2018,G,24.3,3.8,7.0,20.0,20.0,20.0,25.0,27.0,30.0,30.0,21.95,26.65
2018,H,39.5,2.46,4.0,36.0,36.0,38.0,39.0,42.0,43.0,43.0,37.98,41.02
2018,S,84.5,6.2,9.0,74.0,74.0,79.0,86.0,88.0,95.0,95.0,80.66,88.34
2018,N,33.6,2.54,4.0,29.0,29.0,32.0,33.0,36.0,37.0,37.0,32.03,35.17
2018,K,17.4,2.94,5.0,12.0,12.0,16.0,17.0,21.0,21.0,21.0,15.58,19.22
2019,L,54.1,6.93,4.0,41.0,41.0,54.0,55.0,58.0,66.0,66.0,49.8,58.4
2019,M,1.83,0.9,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.28,2.39
2019,I,35.7,5.37,8.0,26.0,26.0,33.0,34.0,41.0,45.0,45.0,32.37,39.03
2019,R,37.2,7.56,10.0,27.0,27.0,32.0,34.0,42.0,50.0,50.0,32.51,41.89
2019,O,2.22,1.23,2.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,1.46,2.98
2019,A,428.6,9.49,20.0,415.0,415.0,418.0,427.0,438.0,442.0,442.0,422.72,434.48
2019,F,130.3,3.85,4.0,124.0,124.0,129.0,130.0,133.0,136.0,136.0,127.91,132.69
2019,Q,7.7,3.1,4.0,2.0,2.0,6.0,7.0,10.0,13.0,13.0,5.78,9.62
2019,P,9.1,4.01,6.0,4.0,4.0,5.0,9.0,11.0,17.0,17.0,6.61,11.59
2019,D,21.1,5.34,8.0,9.0,9.0,18.0,20.0,26.0,27.0,27.0,17.79,24.41
2019,B,1295.5,16.22,27.0,1258.0,1258.0,1282.0,1302.0,1309.0,1310.0,1310.0,1285.45,1305.55
2019,J,75.8,9.21,15.0,61.0,61.0,68.0,71.0,83.0,93.0,93.0,70.09,81.51
2019,C,6.44,1.95,3.0,4.0,4.0,5.0,6.0,8.0,10.0,10.0,5.24,7.65
2019,E,34.4,5.83,7.0,21.0,21.0,32.0,35.0,39.0,42.0,42.0,30.78,38.02
2019,G,26.7,5.92,9.0,19.0,19.0,22.0,24.0,31.0,38.0,38.0,23.03,30.37
2019,H,34.3,3.1,5.0,29.0,29.0,32.0,34.0,37.0,40.0,40.0,32.38,36.22
2019,S,71.5,7.53,13.0,60.0,60.0,66.0,69.0,79.0,84.0,84.0,66.83,76.17
2019,N,34.6,4.61,5.0,28.0,28.0,32.0,33.0,37.0,45.0,45.0,31.74,37.46
2019,K,18.9,2.74,3.0,14.0,14.0,17.0,19.0,20.0,24.0,24.0,17.2,20.6
2020,L,59.2,6.14,7.0,48.0,48.0,56.0,59.0,63.0,71.0,71.0,55.39,63.01
2020,M,1.5,0.71,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.06,1.94
2020,I,41.0,5.66,10.0,33.0,33.0,36.0,42.0,46.0,50.0,50.0,37.49,44.51
2020,R,36.9,8.76,13.0,22.0,22.0,30.0,35.0,43.0,54.0,54.0,31.47,42.33
2020,O,2.0,0.93,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.43,2.57
2020,A,450.0,11.58,14.0,421.0,421.0,444.0,454.0,458.0,460.0,460.0,442.83,457.17
2020,F,127.0,7.9,15.0,115.0,115.0,118.0,129.0,133.0,139.0,139.0,122.1,131.9
2020,Q,7.2,2.36,5.0,4.0,4.0,5.0,6.0,10.0,10.0,10.0,5.74,8.66
2020,P,8.6,2.8,4.0,5.0,5.0,7.0,8.0,11.0,15.0,15.0,6.86,10.34
2020,D,19.2,4.6,7.0,11.0,11.0,16.0,19.0,23.0,25.0,25.0,16.35,22.05
2020,B,1330.4,28.32,38.0,1277.0,1277.0,1310.0,1333.0,1348.0,1381.0,1381.0,1312.85,1347.95
2020,J,78.8,10.3,13.0,54.0,54.0,72.0,83.0,85.0,90.0,90.0,72.41,85.19
2020,C,7.6,2.69,4.0,2.0,2.0,6.0,8.0,10.0,12.0,12.0,5.93,9.27
2020,E,36.6,5.14,10.0,31.0,31.0,31.0,36.0,41.0,47.0,47.0,33.41,39.79
2020,G,30.7,6.1,7.0,16.0,16.0,29.0,30.0,36.0,39.0,39.0,26.92,34.48
2020,H,33.0,1.84,1.0,30.0,30.0,32.0,33.0,33.0,37.0,37.0,31.86,34.14
2020,S,72.8,5.93,6.0,63.0,63.0,69.0,71.0,75.0,84.0,84.0,69.12,76.48
2020,N,34.7,7.48,7.0,23.0,23.0,31.0,34.0,38.0,47.0,47.0,30.06,39.34
2020,K,18.8,3.66,7.0,12.0,12.0,15.0,20.0,22.0,23.0,23.0,16.53,21.07
2021,L,63.5,6.12,5.0,48.0,48.0,62.0,64.0,67.0,71.0,71.0,59.71,67.29
2021,M,1.14,0.35,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.93,1.36
2021,I,45.2,6.97,12.0,34.0,34.0,37.0,47.0,49.0,54.0,54.0,40.88,49.52
2021,R,38.6,8.14,12.0,24.0,24.0,34.0,35.0,46.0,52.0,52.0,33.56,43.64
2021,O,2.83,1.07,2.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,2.17,3.49
2021,A,462.7,13.76,22.0,434.0,434.0,453.0,461.0,475.0,480.0,480.0,454.17,471.23
2021,F,129.1,8.06,13.0,118.0,118.0,123.0,123.0,136.0,144.0,144.0,124.11,134.09
2021,Q,7.4,2.73,4.0,2.0,2.0,5.0,8.0,9.0,11.0,11.0,5.71,9.09
2021,P,10.8,4.4,8.0,3.0,3.0,7.0,11.0,15.0,16.0,16.0,8.07,13.53
2021,D,20.7,6.07,8.0,10.0,10.0,15.0,20.0,23.0,31.0,31.0,16.94,24.46
2021,B,1365.7,32.66,53.0,1302.0,1302.0,1339.0,1378.0,1392.0,1403.0,1403.0,1345.46,1385.94
2021,J,83.8,11.35,21.0,69.0,69.0,72.0,82.0,93.0,103.0,103.0,76.77,90.83
2021,C,8.5,2.33,2.0,3.0,3.0,8.0,9.0,10.0,11.0,11.0,7.05,9.95
2021,E,41.7,4.63,7.0,36.0,36.0,39.0,40.0,46.0,51.0,51.0,38.83,44.57
2021,G,31.9,4.39,8.0,26.0,26.0,27.0,32.0,35.0,39.0,39.0,29.18,34.62
2021,H,31.1,4.7,8.0,23.0,23.0,26.0,31.0,34.0,39.0,39.0,28.19,34.01
2021,S,68.6,7.28,14.0,56.0,56.0,61.0,69.0,75.0,81.0,81.0,64.09,73.11
2021,N,37.1,10.24,12.0,24.0,24.0,30.0,34.0,42.0,62.0,62.0,30.75,43.45
2021,K,20.5,4.94,6.0,14.0,14.0,16.0,20.0,22.0,31.0,31.0,17.44,23.56
2022,L,61.0,5.53,6.0,52.0,52.0,58.0,60.0,64.0,69.0,69.0,57.57,64.43
2022,M,1.5,0.76,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.03,1.97
2022,I,46.2,8.83,14.0,30.0,30.0,40.0,50.0,54.0,55.0,55.0,40.73,51.67
2022,R,38.9,10.39,11.0,18.0,18.0,33.0,39.0,44.0,56.0,56.0,32.46,45.34
2022,O,2.57,1.18,2.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,1.84,3.3
2022,A,484.6,11.65,13.0,459.0,459.0,480.0,484.0,493.0,504.0,504.0,477.38,491.82
2022,F,131.7,7.77,12.0,120.0,120.0,125.0,131.0,137.0,144.0,144.0,126.88,136.52
2022,Q,9.4,3.2,5.0,4.0,4.0,7.0,8.0,12.0,16.0,16.0,7.42,11.38
2022,P,8.8,3.57,3.0,5.0,5.0,6.0,7.0,9.0,16.0,16.0,6.59,11.01
2022,D,22.0,5.25,8.0,11.0,11.0,18.0,24.0,26.0,28.0,28.0,18.74,25.26
2022,B,1404.6,26.16,28.0,1362.0,1362.0,1388.0,1395.0,1416.0,1466.0,1466.0,1388.38,1420.82
2022,J,88.1,7.6,14.0,77.0,77.0,81.0,84.0,95.0,98.0,98.0,83.39,92.81
2022,C,9.1,3.42,6.0,5.0,5.0,6.0,8.0,12.0,15.0,15.0,6.98,11.22
2022,E,39.2,5.95,5.0,32.0,32.0,36.0,38.0,41.0,54.0,54.0,35.51,42.89
2022,G,31.9,5.01,8.0,22.0,22.0,28.0,32.0,36.0,38.0,38.0,28.8,35.0
2022,H,29.5,5.02,5.0,21.0,21.0,27.0,29.0,32.0,41.0,41.0,26.39,32.61
2022,S,68.6,4.22,9.0,63.0,63.0,64.0,68.0,73.0,75.0,75.0,65.98,71.22
2022,N,41.5,11.44,11.0,24.0,24.0,33.0,40.0,44.0,62.0,62.0,34.41,48.59
2022,K,21.7,5.5,8.0,14.0,14.0,19.0,19.0,27.0,33.0,33.0,18.29,25.11
